@relation 'Waveform ARFF file header-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1'

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute class {0,1,2}

@data
-1.23,-1.56,-1.75,-0.28,0.6,2.22,0.85,0.21,-0.2,0.89,1.08,4.2,2.89,7.75,4.59,3.15,5.12,3.32,1.2,0.24,-0.56,2
0.39,0.93,0.19,-0.5,0.39,-0.58,0.13,0.85,2.63,3.32,4.41,4.24,3.59,4.06,3.42,2.33,2.04,0.83,1.16,0.81,0.91,2
-0.18,0.22,1.68,-0.98,-0.57,1.41,-0.66,0.21,1.69,2.01,2.17,2.11,4.98,4.81,4.42,4.1,3.65,2.8,0.44,-0.51,0.7,2
-0.28,-0.11,-0.18,0.73,-0.74,1.32,0.43,-0.05,1.56,2.63,2.24,2.48,3.31,3.83,7.12,3.69,3.45,1.17,1.35,0.7,1.92,2
0.68,-0.03,1.99,0.14,-1.35,0.05,0.52,1.25,2.01,2.46,1.73,4.17,2.1,4.78,4.04,3.31,3.45,1,2.3,-0.66,0.28,2
-0.15,-2.35,-2.02,1.3,-1.29,1.2,0.63,0.81,-0.77,3.5,3.69,2.23,1.86,4.9,6.27,5.5,1.46,3.11,1.53,-0.16,-0.32,2
0.4,0.29,-0.19,-0.46,-1.76,-0.26,1.72,2.26,0.31,3.17,4.12,4.31,4.07,4.25,1.13,3.95,2.41,0.41,0.62,1.02,-0.91,2
-0.79,2.45,0.7,0.2,0.54,0.61,0.88,3.22,1.53,4.12,6.56,4.69,3.91,5.31,2.53,-1.34,1.55,-0.73,-0.39,-0.34,-0.55,2
0.37,-0.37,0.86,-0.93,-0.62,-0.57,2.14,0.69,2.69,1.99,2.97,5.59,4.53,4.94,5.63,2.84,0.91,0.67,1.5,-0.15,1.04,2
0.12,0.74,-1.08,-0.03,-1.7,-1.74,0.85,1.36,-0.83,2.39,2.52,3.42,6.13,4.18,7.16,1.99,4.58,4.24,-0.21,0.24,0.43,2
-0.14,-0.26,-0.67,0.73,-0.13,1.05,1.49,-0.46,-0.33,2.23,1.02,2.91,4.7,4.84,4.21,4.16,2.52,1.41,2.13,2.46,-1.02,2
1.19,1.69,1.24,-0.69,0.2,0.79,0.15,-1.26,0.78,0.54,1.94,3.15,4.85,4.79,4.55,4.55,3.7,2.77,2.97,0.06,-0.21,2
-0.67,-1.12,-2.86,0.64,1.32,1.01,-0.59,2,4.05,2.45,3.39,3.64,3.65,3.02,4.75,2.77,3.29,1.01,0.9,0.85,-1.19,2
0.91,0.46,-0.32,-1.08,-0.81,0,0.79,3.93,3.33,4.01,3.49,3.46,4.04,3.27,4.25,2.89,2.07,2.15,-1.36,1.19,-0.52,2
0.36,-0.21,0.46,-0.23,-0.24,-0.01,-0.71,0.59,-0.52,2.86,2.24,3.49,4.05,5,3.21,4.5,1.38,1.42,1.16,0.68,-0.29,2
0.28,0.42,1.03,1.04,-0.31,1.58,-0.15,-0.18,0.85,2.16,0.9,0.71,3.43,6.82,5.3,4.9,3.87,2.13,1.83,1.05,-1.06,2
-0.23,-2.67,-2.3,0.64,-1.31,-1.51,1.12,3.11,2.28,4.82,3.94,3.62,4.44,3.16,2.83,3.12,0.29,1.28,2.02,-0.27,1.44,2
-0.31,0.14,-1.47,-0.3,0.04,1.32,-0.51,1.55,1.74,2.69,3.26,3.75,4.61,5.37,4.25,3.61,2.92,2.92,2.74,-1.01,-1.01,2
0.37,2,1.04,0.65,1.12,1.24,0.99,0.05,0.43,0.89,3.87,3.54,2.43,4.29,5.65,5.83,2.22,1.7,1.21,2.78,-0.83,2
1.41,-0.87,-0.91,-0.79,-1.22,0.17,0.24,-1.38,0.14,3.33,5.98,4.96,4.86,3.45,4.46,1.84,1.92,0.2,1.24,-1.62,-0.21,2
-0.5,-0.21,3.41,-0.24,-0.16,1.62,1.16,2.83,1.6,2.46,5.28,4.29,5.65,4.63,2.93,1.13,1.53,0.74,-1.39,0.07,-0.24,2
-0.76,-0.52,-1.26,0.07,0.61,0,0.45,-0.49,-0.48,0.01,1.5,4.4,2.92,3.17,4.86,3.76,2.61,0.74,3.16,0.82,1.4,2
-0.13,-1.82,0.57,0.51,-0.12,2.69,2.98,1.05,4.9,4.55,4.87,5.87,4.2,3.85,3.84,2.18,0.96,0.89,1.03,0.71,-2.72,2
1.93,0.46,1.4,0.39,0.06,0.68,0.55,2.58,2.13,1.32,5.33,4.34,2.94,6.33,4.56,5.55,2.63,1.19,1.65,-0.2,-0.17,2
0.9,-0.38,-0.68,-1.56,1.03,-0.26,0.97,-1.09,0.98,0.46,3.34,3.82,3.78,6.31,5.27,5.11,2.33,4.04,2.07,2.13,-0.15,2
0.77,-1.56,1.95,-0.7,0.49,0.62,1.1,-0.77,1.56,2.83,2.52,3.95,5.2,4.79,7.39,0.91,2.05,2.58,3.12,0.49,0.63,2
-0.96,1.24,-1.31,-1.59,0.29,-0.06,1.63,-0.33,0.33,1.3,3.87,5.86,4.25,3.74,6.71,5.18,1.67,2.05,-0.39,2.27,0.71,2
-0.35,-0.46,-0.4,-0.55,-0.85,0.87,0.71,2.43,1.5,3.34,3.73,3.5,5.18,4.83,4.5,4.51,2.5,0.2,-0.99,-0.57,1.46,2
0.76,0.59,0.77,-2.56,-1.15,-0.89,1.98,2.95,3.03,3.73,6.41,5.91,5.3,3.65,2.08,1.45,0.69,0.86,0.99,-0.03,0.2,2
-1.15,-0.41,0.57,-0.18,-0.66,-0.16,2.49,2.63,2.06,3.09,3.08,4.77,3.46,3.14,1.83,1.43,-0.27,0.9,-1.44,-0.56,0.58,2
-1.16,0.56,0.36,-0.93,0.12,0.64,-0.73,0.55,0.1,0.96,1.82,2.56,3.16,6.98,6.74,4.98,4.55,1.27,2.12,1.63,-0.65,2
0.09,-2.5,0.58,0.31,-1.28,-0.39,1.05,2.25,2.26,1.87,5.23,4.34,2.62,4.88,4.62,1.73,2.14,0.11,0.48,2.35,-0.71,2
-0.27,1.89,-1.32,1.31,-0.08,0.37,0.87,3.23,5.46,6.15,6.44,4.39,2.12,2.57,2.3,1.91,1.27,-1.83,1.16,0.42,-1.49,2
-1.29,-0.26,1.68,0.83,1.65,0.65,0.49,3.11,2.28,4.39,5.89,4.27,3.16,3.32,2.36,0.94,-0.06,0.95,1.46,1.05,0.14,2
0.46,-0.07,1.87,-0.69,-0.04,0.6,1.56,1.97,2.78,4.32,1.62,3.24,4.85,3.72,5.64,3.27,1.78,-0.04,0.7,0.54,-0.22,2
1.33,1.54,-0.07,1.34,0.33,1.8,-0.36,2.43,2.6,3.52,4.43,2.31,4.55,3.92,2.22,1.81,1.83,-1.21,2.23,-0.86,-0.45,2
-0.89,-0.29,1.47,0.28,-1.24,-0.61,2.55,2.23,2.09,1.52,4.07,3.99,4.68,1.83,6.37,3.83,0.43,0.18,1.59,-1.19,-0.14,2
1.11,-0.59,0.5,1.34,1.29,0.83,1.14,3.54,2.48,1.57,2.38,4.35,6.75,2.72,3.15,2.25,2.77,3.31,0.73,0.01,0.07,2
0.42,0.4,0.07,-1.03,-0.16,1.97,0.28,0.92,0.96,-0.55,1.01,3.71,4.91,4.15,4.98,3.62,4.9,2.25,3.41,2.35,-1.34,2
-0.29,0.3,-0.47,0.02,0.17,1.86,1.87,3.48,4.02,4.54,5.59,4.83,3.74,1.33,1.46,1.4,1.67,1.96,0.03,0.48,0.83,2
-0.05,-0.32,-0.14,1.29,-2.11,1.62,1.12,2.67,1.75,2.2,3.61,4.67,4.79,3.64,1.39,1.99,2.03,0.26,-0.27,1.67,0.38,2
-0.16,-0.56,-1.5,0.4,1.85,1.46,1.41,2.12,6.07,3.65,6.27,4.71,4.42,3.97,2.31,0.61,0.21,-0.97,2.18,-0.3,-0.57,2
-1.14,1.26,-1.73,0.62,0.09,0.63,1.49,2.3,2.33,3.31,3.84,4.67,3.64,1.94,2.81,2.08,-0.14,0.44,0.88,-1.44,-0.57,2
-1.42,-0.39,1.67,0.09,-0.46,0.08,0.64,5.01,5.94,5.17,6.21,6.03,2.62,2.74,2.7,2.15,0.02,1.71,-0.23,3.09,-1.57,2
-0.26,0.35,1.21,0.28,0.87,1.48,0.93,1.45,3.08,3.8,5.64,3.03,3.43,2.44,4,2.2,2.33,-0.49,1.28,-0.13,-0.74,2
-1.26,0.21,0.91,1.04,0.94,2.15,2.31,3.96,3.96,5.78,5.14,2.25,4.45,2.43,1.79,-0.24,-1.03,-0.34,-0.82,1.92,-1.11,2
-1.41,1.08,-0.65,-0.52,-0.65,0.19,-0.19,0.68,2.31,2.7,3.04,3.36,2.94,5.11,2.99,3.74,1.53,2.76,0.28,2.23,-1.82,2
0.51,-0.16,0.58,-1.54,0.91,-0.08,2.23,0.87,2.37,3.46,2.4,4.87,5.29,2.44,4.34,1.09,1.63,0.77,0.38,0.4,0.22,2
1.37,1.79,-0.36,-0.58,-0.1,1,2.45,3.86,4.25,4.1,7.66,6.21,5.19,2.68,2.85,1.23,0.02,0.58,-0.51,0.96,1.88,2
-2.11,0.84,1.8,1.01,1.08,2.33,-1.04,0.54,1.07,0.33,2.64,2.18,3.65,5.1,4.65,4.83,2.05,2.83,1.51,-0.29,2.2,2
0.3,0.67,1.15,0.06,1.19,0.78,0.64,2.27,2.21,4.76,5.67,5.55,4.21,2.19,2.93,-0.32,1.34,-1.58,1.64,-0.53,-1.29,2
0.4,0.53,1.51,-1.06,0.55,-0.09,2.4,3.39,3.42,3.89,4.79,6.74,5.19,0.74,2.58,2.35,0.99,0.26,1.37,0.1,-0.02,2
-1.73,0.59,-0.76,-2.23,-0.82,0.75,0.42,0.26,0.99,0.83,1.75,3.69,2.96,4.22,5.68,2.19,3.97,1.61,0.81,0.67,0.59,2
-0.03,0.79,0.89,0.18,-0.36,0.16,1.34,1.27,0.67,3.16,1.71,2.74,4.14,4.75,4.77,1.92,2.52,4.07,1.65,1.01,-0.66,2
2.48,0,-0.05,0.1,-0.59,0.04,1,0.48,0.64,0.66,1.99,5.2,4.21,6.18,5.63,5.31,4.15,1.33,1.89,-0.26,-0.28,2
0.77,-0.11,-0.9,-0.14,0.73,0.7,-1.02,-0.22,0.38,3.76,4.01,5.03,5.71,5.78,5.7,3.51,1.91,2.83,1.47,-1.11,-0.82,2
-1.18,-0.03,-0.46,0,-0.41,1.77,2.06,2.17,0.87,3.6,3.59,4.05,3.74,2.36,3.02,4.11,3,0.79,-0.61,-1.25,0.79,2
-0.49,0.48,0.16,-0.29,-0.33,0.69,4.03,2.35,4.54,6.29,6.03,7.3,2.38,3.03,2.98,0.47,-0.4,-1.35,0.32,-0.48,0.2,2
-0.6,-0.51,-0.67,-1.17,0.67,-0.13,1.25,2.64,2.98,4.32,3.29,4.74,4.85,3.65,1.83,0.12,2.34,-0.88,1.57,1.12,0.51,2
-0.81,1.08,-0.55,-0.56,-1.14,2.52,1.57,2.25,2.54,2.98,6.25,3.41,5.69,3.06,2.55,3.33,3.37,-0.33,1.85,2.19,-0.5,2
0.27,-0.94,-0.23,1.1,0.49,1.67,2.38,4.14,4.4,6.72,7.88,6.12,3.45,2.98,3.04,1.76,1.14,-0.16,0.63,-1.77,1.4,2
-0.25,-0.21,-0.07,-0.2,-1.05,0.48,-0.35,0.11,2.87,-1.12,2.81,2.37,4.26,3,5.17,4.01,5.7,2.44,1.02,-0.54,-1.35,2
1.23,0.11,-0.44,-1.74,-1.01,1.05,1.11,0.97,2.79,5.13,5.63,2.9,3.32,3.44,1.93,0.62,2.7,2.03,0.52,1.61,0.82,2
-0.66,-0.82,1.32,1.19,-0.27,0.69,1.45,0.24,1.93,1.72,3.29,2.1,4.76,5.08,4.22,4.83,3.84,1.19,1.78,0.03,0.71,2
-0.24,0.61,1,-0.25,0.92,1.01,1.76,2.02,4.12,6.26,5.31,4.22,4.98,0.92,1.02,1.14,0.04,-1.2,1.18,0.44,0.81,2
-1.09,-0.66,0.33,-0.41,0.98,0.55,0.42,0.79,2.34,4.12,2.21,2.81,1.68,4.96,4.1,3.07,2.82,3,3.65,0.58,0.99,2
-1.99,-0.37,0.85,1.6,-0.62,1.12,0.24,0.88,1.95,1.5,3.89,3.58,3.75,3.99,3.88,2.51,3.05,1.87,2.33,0.87,1.65,2
-0.42,0.26,0.73,3.48,-1.59,0.17,2.27,1.87,2.74,3.14,4.36,4.43,4.86,2.43,4.48,0.79,0.31,0.08,-0.38,0.29,-0.54,2
-0.94,-0.59,2.09,-0.23,0.76,2.3,1.21,1.74,5.42,3.67,4.55,5.39,5.75,3.99,1.61,3.09,1.53,0.53,0.01,1.45,0.03,2
1.42,-0.3,0.1,-0.58,1.01,1.13,2.13,2.28,3.05,3.67,5.04,2.44,3.13,3.21,3.85,4.22,1.12,1.25,0.06,-0.73,1.25,2
0.68,0.25,0.41,-0.26,0.67,1.73,-0.65,1.07,1.85,2.97,5.7,5.27,3.06,4.99,5.46,3.11,3.31,3.04,2.46,0.72,-0.49,2
0.12,1.15,1.84,0.86,0.65,0.59,-0.66,0.7,1.69,3.16,3.32,3.86,4.44,3.94,4.55,2.52,1.83,1.63,0.75,-0.7,-0.95,2
0.83,-0.17,-0.02,-0.11,0.65,1.39,0.04,-0.18,0.14,1.55,3.15,2.64,3.22,3,6.23,2.88,4.72,1.85,1.67,2.02,0.79,2
